location_id,pm2_5,pm10,no2,so2,o3,co,aqi
143,14.48,20.62,14.98,13.02,17.27,157.78,2
144,17.33,20.52,13.08,6.04,17.98,242.06,2
145,5.0,8.4,0.08,0.18,93.2,71.36,2
146,5.02,11.48,3.76,2.37,65.67,101.13,2
147,4.85,10.01,4.08,2.42,66.0,99.35,2
148,5.02,11.48,3.76,2.37,65.67,101.13,2
149,5.2,12.94,3.44,2.31,65.33,102.92,2
150,5.02,11.48,3.76,2.37,65.67,101.13,2
151,5.02,11.48,3.76,2.37,65.67,101.13,2
152,5.02,11.48,3.76,2.37,65.67,101.13,2
153,5.37,14.4,3.12,2.26,65.0,104.7,2
154,5.02,11.48,3.76,2.37,65.67,101.13,2
155,5.2,12.94,3.44,2.31,65.33,102.92,2
156,5.2,12.94,3.44,2.31,65.33,102.92,2
157,4.85,10.01,4.08,2.42,66.0,99.35,2
158,5.2,12.94,3.44,2.31,65.33,102.92,2
159,5.02,11.48,3.76,2.37,65.67,101.13,2
160,1.08,2.12,0.71,0.23,54.19,113.66,1
161,0.67,1.68,1.19,0.28,31.04,102.0,1
162,0.96,2.05,1.06,0.25,34.84,104.79,1
163,0.73,2.85,0.18,0.11,31.51,94.46,1
164,0.76,1.65,1.75,0.38,31.3,104.96,1
165,1.44,2.13,3.7,1.16,29.57,115.62,1
166,0.67,1.68,1.19,0.28,31.04,102.0,1
167,0.7,1.95,0.07,0.06,32.65,98.81,1
168,0.67,1.68,1.19,0.28,31.04,102.0,1
169,0.67,1.68,1.19,0.28,31.04,102.0,1
170,0.65,2.46,0.12,0.09,30.92,95.36,1
171,0.68,2.32,0.48,0.17,32.21,96.05,1
172,0.96,2.05,1.06,0.25,34.84,104.79,1
173,0.66,2.0,0.72,0.2,32.12,96.78,1
174,1.44,2.56,1.37,0.3,40.59,110.62,1
175,0.89,2.15,0.07,0.05,34.78,101.54,1
176,0.63,2.4,0.07,0.08,30.15,96.43,1
177,1.1,2.11,1.56,0.34,35.94,107.79,1
178,1.44,2.13,3.7,1.16,29.57,115.62,1
179,1.08,2.29,0.5,0.14,36.72,104.56,1
180,1.1,2.11,1.56,0.34,35.94,107.79,1
181,0.67,1.84,0.95,0.24,31.58,99.39,1
183,0.96,2.05,1.06,0.25,34.84,104.79,1
184,1.1,2.11,1.56,0.34,35.94,107.79,1
186,0.76,1.65,1.75,0.38,31.3,104.96,1
187,0.67,1.84,0.95,0.24,31.58,99.39,1
188,0.67,1.84,0.95,0.24,31.58,99.39,1
189,0.76,1.65,1.75,0.38,31.3,104.96,1
190,1.73,2.66,3.54,1.23,35.02,117.47,1
191,0.83,2.0,0.56,0.15,33.74,101.8,1
192,0.7,1.66,1.35,0.31,31.67,101.22,1
193,0.67,1.68,1.19,0.28,31.04,102.0,1
194,0.76,1.65,1.75,0.38,31.3,104.96,1
195,0.67,1.68,1.19,0.28,31.04,102.0,1
196,0.64,1.67,0.95,0.24,32.04,97.5,1
197,1.26,2.42,0.94,0.22,38.65,107.59,1
198,0.67,1.84,0.95,0.24,31.58,99.39,1
199,1.44,2.56,1.37,0.3,40.59,110.62,1
200,1.07,1.89,2.53,0.73,30.62,108.42,1
202,0.89,2.15,0.07,0.05,34.78,101.54,1
203,0.58,1.68,0.56,0.16,32.41,93.8,1
204,0.59,1.71,0.63,0.17,30.78,99.04,1
205,0.84,1.7,1.68,0.46,31.47,102.42,1
206,0.59,1.71,0.63,0.17,30.78,99.04,1
207,5.37,7.33,0.74,0.33,111.31,87.03,3
209,6.84,10.14,0.26,0.09,103.93,88.12,3
210,5.06,6.1,1.64,0.13,44.91,135.99,1
211,4.97,15.95,0.33,0.71,79.05,76.55,2
212,8.2,8.89,1.32,0.36,65.35,119.27,2
213,21.3,21.81,0.3,0.02,111.74,106.76,3
214,5.37,7.33,0.74,0.33,111.31,87.03,3
215,4.62,5.02,5.32,0.63,63.77,143.52,2
216,4.99,5.28,1.76,1.55,85.17,122.64,2
217,5.43,5.68,2.37,1.17,83.65,120.59,2
218,4.99,5.18,1.93,1.36,87.9,118.98,2
219,7.37,7.87,2.18,2.01,93.46,121.1,2
220,5.68,6.05,1.94,0.53,88.24,122.41,2
221,6.5,6.86,2.47,1.16,81.91,122.01,2
222,5.54,5.83,2.91,1.39,72.55,124.19,2
223,5.27,5.48,2.13,1.37,87.19,119.39,2
224,6.95,7.42,2.66,0.67,83.34,130.29,2
225,6.66,7.19,2.45,2.71,98.14,118.34,2
226,5.57,5.93,1.72,0.79,84.85,122.89,2
227,5.73,6.06,2.35,1.0,84.45,121.99,2
228,6.85,7.21,2.08,1.37,88.13,119.56,2
229,10.12,10.93,2.08,0.33,65.87,121.42,2
230,20.32,29.57,4.76,5.35,179.07,153.67,4
231,16.71,26.46,2.57,5.25,157.91,134.17,4
232,15.1,21.73,1.67,1.77,154.37,111.39,4
233,16.65,17.3,0.62,0.14,115.25,110.4,3
234,9.62,10.36,0.41,0.03,101.78,88.95,3
235,25.94,29.9,15.04,0.99,9.96,616.91,3
236,25.94,29.9,15.04,0.99,9.96,616.91,3
237,7.26,23.54,0.2,0.48,74.61,81.34,2
238,8.4,8.74,1.33,1.64,84.62,105.8,2
239,5.92,20.33,0.32,0.09,98.63,85.39,2
240,3.99,4.51,3.75,1.48,103.89,125.18,3
241,0.86,1.24,2.75,0.46,51.98,104.66,1
242,5.0,5.54,3.57,0.58,66.93,126.33,2
243,7.85,9.2,1.74,0.42,79.66,116.5,2
244,8.42,8.87,1.61,0.75,88.76,111.67,2
245,8.75,9.1,1.16,1.81,87.52,103.89,2
246,9.13,11.05,2.16,0.67,69.74,110.69,2
247,7.71,8.88,2.64,0.62,60.55,121.91,2
248,7.97,8.32,1.29,1.55,86.56,106.2,2
249,7.98,8.4,1.75,2.17,97.47,113.89,2
250,8.18,8.53,1.22,1.7,87.99,105.31,2
251,9.13,11.05,2.16,0.67,69.74,110.69,2
252,9.57,9.98,1.1,1.88,92.37,106.48,2
253,8.98,9.37,0.95,2.16,97.72,103.79,2
254,7.76,8.12,1.36,1.4,85.15,107.1,2
255,8.3,8.68,1.66,1.09,79.64,102.87,2
256,9.01,10.57,1.68,0.71,77.24,106.71,2
257,6.72,6.9,2.56,1.12,76.76,121.64,2
258,7.97,8.35,1.36,0.62,91.11,111.01,2
259,8.46,8.87,1.76,0.54,82.25,115.16,2
260,7.11,7.33,2.0,0.75,80.92,118.45,2
261,8.22,8.61,1.56,0.58,86.69,113.09,2
262,8.45,8.76,1.45,1.32,86.49,103.35,2
263,8.19,8.61,1.47,0.88,92.92,109.61,2
264,8.23,8.55,1.46,1.44,81.87,107.01,2
265,0.86,1.24,2.75,0.46,51.98,104.66,1
266,6.12,6.57,8.5,0.74,64.05,157.49,2
267,3.42,3.75,2.62,0.68,76.28,119.62,2
268,9.36,10.05,2.97,3.99,107.89,123.87,3
269,4.25,8.88,2.24,0.95,57.44,103.19,1
270,0.7,0.91,1.47,0.05,58.35,95.17,1
271,9.44,11.19,1.08,1.49,66.18,92.46,2
272,6.19,6.44,3.79,0.78,61.86,128.42,2
273,5.5,5.82,1.25,2.16,103.55,109.05,3
274,4.21,5.11,8.41,1.96,85.08,152.93,2
275,2.11,2.56,9.5,1.35,69.16,147.38,2
276,6.79,20.86,0.52,1.04,84.26,75.22,2
277,5.51,5.67,1.1,1.05,91.72,110.39,2
278,5.55,5.93,2.0,0.82,94.25,110.21,2
279,4.09,4.56,0.17,0.06,71.75,103.33,2
280,4.24,18.05,0.17,0.03,73.16,80.06,2
281,0.92,1.22,6.1,0.53,65.31,128.43,2
282,3.56,3.74,0.22,0.12,93.4,67.05,2
283,4.73,5.15,2.37,2.65,82.37,116.9,2
284,5.29,5.59,2.5,3.37,112.93,128.44,3
285,0.89,0.96,0.29,0.27,90.32,64.66,2
286,16.78,17.98,4.02,0.82,8.4,261.05,2
287,4.1,4.74,0.89,2.35,100.78,77.76,3
288,7.55,10.99,0.47,1.4,106.22,89.68,3
289,5.16,5.42,1.13,0.95,101.25,98.97,3
292,10.68,12.81,1.35,1.35,60.45,99.48,2
293,0.67,1.84,0.36,0.64,61.33,112.17,2
294,1.9,4.29,4.22,0.7,41.33,97.08,1
295,5.0,8.4,0.08,0.18,93.2,71.36,2
296,4.4,7.27,0.06,0.15,90.12,71.91,2
297,1.48,1.55,0.23,0.06,75.77,66.6,2
298,4.1,4.8,0.53,0.41,104.74,75.28,3
299,9.48,11.2,4.95,0.5,59.59,187.2,1
300,5.47,5.96,7.34,0.8,68.47,151.37,2
301,27.81,32.17,15.01,0.85,8.27,601.83,3
304,0.64,1.06,1.1,0.14,39.81,74.89,1
305,10.35,13.7,1.11,0.53,113.56,102.01,3
306,5.66,5.79,1.36,0.22,67.31,127.57,2
307,6.34,8.76,1.1,1.26,74.71,87.68,2
308,1.44,2.56,1.37,0.3,40.59,110.62,1
309,1.97,2.08,0.34,0.22,68.05,77.7,2
310,0.54,0.69,0.28,0.08,17.57,98.41,1
311,6.78,7.18,2.54,1.33,83.17,123.27,2
312,5.56,5.77,2.33,1.38,86.49,119.8,2
313,8.57,19.94,0.73,0.23,113.06,92.3,3
314,6.78,7.18,2.54,1.33,83.17,123.27,2
315,7.45,7.94,1.83,2.02,97.15,117.96,2
316,10.17,10.9,0.33,0.2,110.32,89.34,3
317,9.39,22.74,0.55,0.23,113.95,92.25,3
318,5.45,6.04,2.88,3.09,73.84,131.68,2
319,3.11,5.92,0.28,0.52,45.12,94.63,1
320,3.66,6.26,0.57,0.63,82.44,83.35,2
321,2.16,3.38,1.16,0.33,72.43,97.15,2
322,7.2,7.73,2.89,1.99,86.04,127.42,2
323,9.44,11.19,1.08,1.49,66.18,92.46,2
326,6.76,7.42,1.14,0.15,75.65,122.2,2
327,4.09,16.78,0.18,0.06,66.51,81.01,2
328,6.09,6.54,3.85,0.75,90.4,119.19,2
329,5.47,6.98,2.96,0.39,78.79,111.83,2
330,7.7,10.59,0.68,3.61,104.55,89.95,3
331,7.7,10.59,0.68,3.61,104.55,89.95,3
332,9.48,11.2,4.95,0.5,59.59,187.2,1
333,9.48,11.2,4.95,0.5,59.59,187.2,1
334,0.52,1.08,0.86,0.34,42.48,98.59,1
335,1.33,1.8,0.78,0.45,44.0,100.62,1
336,0.57,1.02,0.95,0.3,50.8,76.56,1
337,3.19,7.49,1.47,0.55,61.29,106.63,2
338,8.87,9.45,3.91,2.28,44.61,158.61,1
339,1.96,3.3,1.87,0.58,64.22,102.74,2
341,3.96,4.35,0.17,0.06,74.6,106.14,2
342,4.38,5.13,11.57,1.88,86.8,165.71,2
343,6.38,6.71,2.29,3.92,93.4,114.36,2
344,8.57,19.94,0.73,0.23,113.06,92.3,3
345,1.64,7.24,0.13,0.15,28.4,92.59,1
346,28.82,34.06,16.03,0.84,7.4,610.87,3
348,2.55,2.84,2.56,0.3,36.1,152.05,1
349,5.57,8.68,3.32,0.25,74.69,110.7,2
350,3.97,4.15,0.23,0.06,94.73,69.43,2
351,8.34,9.57,4.09,0.19,43.0,229.65,1
352,2.62,2.75,1.37,0.07,66.84,111.3,2
353,2.62,2.75,1.37,0.07,66.84,111.3,2
354,20.28,21.65,15.2,1.72,9.14,483.91,2
355,0.63,1.09,0.82,0.23,51.11,75.04,1
356,4.78,5.75,1.2,0.2,53.58,130.24,1
358,8.12,8.48,2.14,1.3,88.37,120.53,2
359,7.93,8.55,7.84,2.72,42.57,194.75,1
360,7.68,8.43,0.47,1.23,99.56,88.09,2
361,2.35,2.59,4.14,0.61,63.36,114.18,2
362,2.64,3.56,6.83,1.54,76.41,130.5,2
364,9.03,29.51,0.55,1.33,83.84,69.45,2
365,2.84,4.9,0.5,0.16,52.07,109.94,1
366,4.56,4.8,1.11,0.84,97.69,109.62,2
373,2.13,2.81,0.29,0.06,100.54,74.51,3
374,18.21,18.83,0.86,0.17,112.43,111.86,3
376,7.27,7.84,10.06,2.27,38.01,221.74,1
377,10.68,12.81,1.35,1.35,60.45,99.48,2
378,10.09,13.11,9.08,3.51,18.11,221.73,2
379,17.88,18.49,0.92,0.19,110.77,111.12,3
381,3.47,4.05,10.46,1.54,72.41,154.51,2
382,3.96,4.64,0.58,0.37,103.98,75.88,3
383,1.06,1.54,0.22,0.01,87.45,80.07,2
384,4.23,4.73,7.0,1.31,83.55,141.92,2
385,2.15,2.59,8.98,1.32,70.96,143.66,2
386,4.9,5.52,6.31,1.4,90.85,143.37,2
387,0.99,1.14,1.62,0.14,61.16,103.36,2
388,3.14,3.79,1.13,0.2,55.72,117.53,1
389,0.74,1.08,1.3,0.09,76.03,90.83,2
390,1.32,1.56,0.85,0.28,92.01,71.85,2
391,3.49,4.41,2.44,0.96,93.24,118.27,2
392,4.55,4.94,1.6,0.98,105.62,120.78,3
393,2.08,2.36,4.89,1.09,78.98,119.39,2
394,0.82,0.88,0.08,0.08,83.13,63.91,2
395,0.88,1.02,1.51,0.12,60.52,103.36,2
396,1.78,2.11,3.49,0.53,79.4,117.66,2
397,17.36,17.74,0.47,0.07,112.84,106.58,3
398,0.64,1.06,1.1,0.14,39.81,74.89,1
399,1.21,1.56,1.92,0.02,46.64,105.04,1
400,5.76,6.14,4.89,0.69,73.14,134.04,2
403,2.07,4.44,2.83,0.08,49.18,103.19,1
404,7.29,9.19,3.47,0.94,82.16,115.89,2
405,7.29,9.19,3.47,0.94,82.16,115.89,2
406,2.95,7.17,1.37,0.55,63.79,106.35,2
407,1.87,3.44,5.79,4.06,17.08,122.58,1
408,0.5,0.52,3.37,0.08,42.81,110.24,1
409,4.58,4.89,0.32,0.08,92.97,80.49,2
410,4.24,18.05,0.17,0.03,73.16,80.06,2
412,2.53,3.4,2.29,0.68,18.43,106.29,1
413,7.93,8.55,7.84,2.72,42.57,194.75,1
414,1.75,3.35,2.25,0.91,57.06,105.12,1
415,3.31,3.59,0.23,0.1,94.41,80.46,2
416,1.56,3.26,0.81,0.76,49.65,93.59,1
417,0.57,1.02,0.95,0.3,50.8,76.56,1
418,0.64,0.94,0.46,0.12,15.69,110.58,1
420,5.89,6.14,0.99,0.49,65.93,126.99,2
421,6.21,6.46,1.06,0.44,66.11,129.96,2
422,7.6,7.91,1.56,0.19,46.59,139.87,1
423,5.21,5.4,0.75,0.5,85.35,128.56,2
424,5.5,5.7,2.37,1.26,85.25,118.66,2
425,0.92,1.34,1.8,0.36,41.01,100.27,1
426,9.77,11.06,2.3,0.86,98.31,117.85,2
427,1.64,1.72,0.27,0.19,69.69,73.61,2
428,1.34,1.82,0.51,0.13,68.5,83.69,2
429,2.29,2.77,0.92,0.33,87.3,103.92,2
430,0.98,1.08,3.6,0.69,61.34,119.79,2
431,25.94,29.9,15.04,0.99,9.96,616.91,3
432,1.74,3.64,8.19,4.17,42.5,110.68,1
433,7.17,7.48,0.26,0.04,96.93,77.88,2
434,5.18,5.51,1.08,0.83,99.52,100.05,2
435,1.09,1.46,0.25,0.14,80.68,79.95,2
436,5.58,5.77,1.25,0.57,79.56,107.53,2
437,0.5,0.5,0.96,0.14,52.0,105.55,1
438,6.91,7.5,2.93,1.66,93.0,132.98,2
439,0.5,0.6,2.57,0.21,55.75,117.87,1
440,3.85,15.53,0.2,0.04,70.11,79.43,2
441,0.5,0.51,1.03,0.12,52.11,105.89,1
442,4.24,18.05,0.17,0.03,73.16,80.06,2
444,5.45,5.81,1.82,0.68,91.1,120.05,2
445,4.07,16.78,0.18,0.05,69.08,80.38,2
447,0.5,0.51,1.44,0.04,42.66,103.4,1
448,1.78,2.11,3.49,0.53,79.4,117.66,2
449,1.16,1.32,4.56,0.45,70.13,119.78,2
450,0.73,0.73,0.23,0.01,46.39,101.38,1
452,1.78,2.11,3.49,0.53,79.4,117.66,2
453,0.5,0.5,0.59,0.06,56.19,101.05,1
454,0.73,0.88,1.44,0.11,61.38,102.71,2
455,4.69,4.94,0.25,0.03,91.95,69.56,2
456,13.42,13.5,0.11,0.04,88.83,115.79,2
457,6.49,6.72,1.74,1.21,88.82,109.71,2
458,3.01,3.73,3.84,0.9,83.71,122.92,2
459,3.75,4.01,0.18,0.03,93.57,67.69,2
460,6.32,6.82,5.23,0.82,102.21,142.66,3
461,3.49,4.41,2.44,0.96,93.24,118.27,2
462,0.84,0.89,0.12,0.12,87.87,63.65,2
463,0.5,0.51,1.03,0.12,52.11,105.89,1
464,3.78,14.9,0.28,0.05,74.57,80.26,2
465,0.54,0.99,0.43,0.18,80.78,87.92,2
466,2.19,2.71,2.52,0.6,85.89,114.72,2
467,6.59,7.3,0.54,0.67,113.83,104.49,3
468,0.5,0.5,1.53,0.02,49.2,101.87,1
469,12.93,13.21,0.2,0.04,98.85,88.82,2
470,0.5,0.5,0.59,0.06,56.19,101.05,1
471,3.51,4.77,6.61,2.01,87.01,130.59,2
472,0.92,1.22,6.1,0.53,65.31,128.43,2
474,1.56,1.75,1.33,0.37,70.76,105.32,2
475,6.3,28.07,0.18,0.07,78.64,84.14,2
476,0.61,0.71,0.62,0.15,56.9,95.38,1
477,0.84,1.13,3.67,0.24,33.16,123.92,1
478,0.5,0.5,2.46,0.06,41.53,108.05,1
479,1.12,1.27,4.62,0.43,67.87,118.54,2
480,1.38,1.53,4.04,0.46,76.16,119.89,2
481,0.5,0.59,1.93,0.2,49.39,111.24,1
482,0.53,0.71,2.56,0.4,36.37,116.57,1
483,4.52,18.77,0.24,0.03,79.29,81.79,2
484,7.97,8.26,0.54,0.04,95.01,79.89,2
485,1.16,1.75,6.41,0.93,27.22,149.82,1
486,6.15,6.51,0.32,0.04,98.64,77.99,2
487,1.6,2.45,5.36,0.54,25.95,141.95,1
488,4.07,5.18,4.5,1.51,91.2,127.51,2
489,4.97,5.26,2.0,0.29,74.23,120.2,2
490,7.44,8.18,0.46,1.28,98.94,86.65,2
491,1.04,1.31,3.6,0.4,34.46,126.7,1
492,0.5,0.5,0.6,0.06,56.24,100.99,1
494,6.85,7.21,0.66,0.04,87.29,87.04,2
495,2.15,2.52,0.58,0.29,100.05,71.06,3
496,1.46,1.55,0.39,0.21,105.53,78.28,3
497,0.66,0.7,2.42,0.38,52.28,109.0,1
498,0.5,0.63,3.62,0.19,41.69,121.99,1
499,5.05,6.1,2.26,1.22,101.66,122.23,3
500,10.68,11.01,0.24,0.04,96.04,84.71,2
501,6.37,6.83,1.11,1.24,93.27,106.92,2
502,0.88,1.04,2.42,0.44,36.6,120.7,1
503,3.78,14.9,0.28,0.05,74.57,80.26,2
504,3.41,4.04,0.67,0.39,105.81,75.13,3
505,6.75,7.5,0.36,1.45,102.21,82.48,3
506,0.5,0.68,2.24,0.12,34.07,108.39,1
507,2.09,2.56,4.73,0.7,74.19,123.73,2
508,2.18,2.68,5.14,0.77,72.53,126.08,2
509,6.57,7.2,0.26,1.8,98.5,77.27,2
510,1.67,2.53,0.8,0.23,72.5,101.22,2
511,6.97,7.36,0.39,0.04,97.39,80.44,2
512,3.39,3.68,0.2,0.03,92.72,68.96,2
513,4.24,18.05,0.17,0.03,73.16,80.06,2
514,4.24,18.05,0.17,0.03,73.16,80.06,2
515,4.04,16.79,0.18,0.04,71.63,79.74,2
516,4.87,5.21,1.33,0.32,72.86,110.08,2
517,4.07,16.78,0.18,0.05,69.08,80.38,2
518,4.24,18.05,0.17,0.03,73.16,80.06,2
519,0.58,0.64,1.65,0.21,37.54,110.16,1
520,1.28,1.5,0.17,0.02,90.91,70.71,2
521,1.78,2.11,3.49,0.53,79.4,117.66,2
522,2.64,3.56,6.83,1.54,76.41,130.5,2
524,0.8,1.0,5.82,0.46,55.91,122.48,1
525,0.75,0.93,3.34,0.25,60.65,115.08,2
526,4.04,16.79,0.18,0.04,71.63,79.74,2
527,0.5,0.51,1.03,0.12,52.11,105.89,1
528,0.5,0.54,2.11,0.06,35.18,110.52,1
529,0.5,0.5,0.59,0.06,56.19,101.05,1
530,1.91,2.46,6.42,0.97,68.08,128.97,2
531,1.06,1.66,7.02,1.77,28.13,149.78,1
532,6.43,6.83,1.31,1.17,97.02,109.31,2
533,1.78,2.11,3.49,0.53,79.4,117.66,2
534,10.95,11.25,0.21,0.04,96.34,84.6,2
535,2.54,2.86,0.27,0.03,87.7,71.38,2
536,3.71,14.26,0.36,0.05,79.09,81.11,2
537,2.29,2.48,0.22,0.03,90.41,70.64,2
538,1.34,1.64,0.52,0.32,88.0,103.75,2
539,3.29,3.48,0.24,0.17,92.89,65.34,2
540,4.32,6.15,5.32,1.56,79.04,139.5,2
541,4.04,16.79,0.18,0.04,71.63,79.74,2
542,1.73,2.04,0.3,0.04,86.01,70.36,2
543,4.24,18.05,0.17,0.03,73.16,80.06,2
544,2.68,3.09,0.38,1.87,88.36,72.94,2
545,6.74,7.06,1.77,2.38,89.61,112.85,2
546,2.86,3.95,0.28,0.09,96.45,77.2,2
547,4.07,16.36,0.36,0.03,81.31,81.83,2
548,6.09,8.23,1.25,0.71,118.2,90.35,3
549,3.16,3.72,0.81,0.35,104.87,76.35,3
550,4.24,18.05,0.17,0.03,73.16,80.06,2
551,7.33,7.69,0.34,0.04,98.59,80.62,2
552,1.52,2.1,4.77,0.58,30.6,135.72,1
553,0.87,1.11,2.38,0.35,26.02,104.5,1
554,0.76,0.8,0.11,0.25,89.04,64.33,2
555,1.19,1.35,0.19,0.05,84.51,65.58,2
556,3.79,4.96,10.24,4.01,42.4,139.74,1
557,3.06,3.92,1.94,0.81,93.21,114.44,2
558,2.82,3.13,3.84,1.82,67.72,117.9,2
559,3.19,4.02,1.28,0.73,95.89,112.29,2
560,15.36,15.81,0.5,0.08,107.27,100.43,3
561,4.52,18.77,0.24,0.03,79.29,81.79,2
562,2.66,3.12,0.7,0.32,102.46,73.7,3
563,2.64,2.92,0.2,0.09,74.59,73.02,2
564,4.24,18.05,0.17,0.03,73.16,80.06,2
565,9.86,10.56,4.84,1.1,79.87,139.29,2
566,2.34,3.21,0.63,0.47,93.0,107.95,2
567,3.97,16.05,0.27,0.04,75.88,80.61,2
568,5.14,5.42,2.43,3.13,86.35,113.13,2
569,6.75,7.5,0.36,1.45,102.21,82.48,3
570,3.85,15.53,0.2,0.04,70.11,79.43,2
571,1.58,1.76,0.13,0.05,86.39,64.81,2
572,0.5,0.5,0.6,0.06,56.24,100.99,1
573,1.94,2.07,0.46,0.13,76.36,70.71,2
574,2.55,3.24,1.0,0.58,93.69,109.61,2
576,2.55,2.84,2.56,0.3,36.1,152.05,1
577,1.66,3.18,0.54,0.51,52.62,92.19,1
578,1.97,2.08,0.34,0.22,68.05,77.7,2
579,1.97,2.08,0.34,0.22,68.05,77.7,2
580,2.3,2.43,0.41,0.25,66.42,81.68,2
