location_id,pm2_5,pm10,no2,so2,o3,co,aqi,temperature,humidity,wind_speed,latitude,longitude,pollution_source
220,5.68,6.05,1.94,0.53,88.24,122.41,2,15.46,77,2.54,41.169722,-85.629444,unknown
221,6.5,6.86,2.47,1.16,81.91,122.01,2,16.29,75,1.8,39.810833,-86.114444,unknown
222,5.54,5.83,2.91,1.39,72.55,124.19,2,17.52,75,2.19,39.485987,-87.401312,unknown
223,5.27,5.48,2.13,1.37,87.19,119.39,2,17.14,80,2.0,41.606563,-87.305015,unknown
224,6.95,7.42,2.66,0.67,83.34,130.29,2,15.86,72,2.46,41.094965,-85.101816,unknown
225,6.66,7.19,2.45,2.71,98.14,118.34,2,17.64,76,3.01,38.30703,-85.832974,industrial
226,5.57,5.93,1.72,0.79,84.85,122.89,2,15.76,80,1.87,41.657155,-85.968446,unknown
227,5.73,6.06,2.35,1.0,84.45,121.99,2,15.89,78,2.39,40.481347,-86.109688,unknown
228,6.85,7.21,2.08,1.37,88.13,119.56,2,16.16,75,2.15,39.960884,-85.939546,unknown
229,10.12,10.93,2.08,0.33,65.87,121.42,2,21.65,84,1.99,34.1795,-93.0988,agricultural
230,20.32,29.57,4.76,5.35,179.07,153.67,4,18.34,51,1.89,34.894054,-117.024756,vehicular
231,16.71,26.46,2.57,5.25,157.91,134.17,4,16.0,55,0.58,34.4101,-116.906874,industrial
232,15.1,21.73,1.67,1.77,154.37,111.39,4,19.49,40,0.91,35.774455,-117.372109,industrial
233,16.65,17.3,0.62,0.14,115.25,110.4,3,13.39,86,1.62,47.663962,-117.25765,burning
234,9.62,10.36,0.41,0.03,101.78,88.95,3,11.64,59,1.9,45.426351,-117.296066,unknown
235,25.94,29.9,15.04,0.99,9.96,616.91,3,30.97,69,3.64,28.646835,77.316032,vehicular
236,25.94,29.9,15.04,0.99,9.96,616.91,3,30.77,69,3.89,28.6341,77.2005,vehicular
237,7.26,23.54,0.2,0.48,74.61,81.34,2,20.25,76,2.0,32.543475,-117.029028,unknown
238,8.4,8.74,1.33,1.64,84.62,105.8,2,20.49,72,2.28,38.7108,-90.4758,industrial
239,5.92,20.33,0.32,0.09,98.63,85.39,2,26.56,51,0.72,34.243889,-113.558611,unknown
240,3.99,4.51,3.75,1.48,103.89,125.18,3,17.47,66,4.13,41.5503,-73.0442,unknown
241,0.86,1.24,2.75,0.46,51.98,104.66,1,22.18,62,4.68,51.8879,4.38881,unknown
242,5.0,5.54,3.57,0.58,66.93,126.33,2,12.74,90,1.29,45.5639,-88.81,unknown
243,7.85,9.2,1.74,0.42,79.66,116.5,2,20.14,86,3.31,37.695801,-94.037498,unknown
244,8.42,8.87,1.61,0.75,88.76,111.67,2,19.55,83,1.78,39.303056,-94.376389,unknown
245,8.75,9.1,1.16,1.81,87.52,103.89,2,20.51,76,1.83,38.490299,-90.705299,industrial
246,9.13,11.05,2.16,0.67,69.74,110.69,2,19.67,84,3.11,37.256136,-93.299886,unknown
247,7.71,8.88,2.64,0.62,60.55,121.91,2,20.22,85,3.45,37.198286,-94.317246,unknown
248,7.97,8.32,1.29,1.55,86.56,106.2,2,20.28,71,2.34,38.673172,-90.239086,industrial
249,7.98,8.4,1.75,2.17,97.47,113.89,2,20.56,70,3.07,37.701893,-89.697655,industrial
250,8.18,8.53,1.22,1.7,87.99,105.31,2,20.51,74,2.46,38.448633,-90.39854,industrial
251,9.13,11.05,2.16,0.67,69.74,110.69,2,19.46,83,3.21,37.31951,-93.204635,unknown
252,9.57,9.98,1.1,1.88,92.37,106.48,2,19.35,75,2.34,37.652142,-91.11689,industrial
253,8.98,9.37,0.95,2.16,97.72,103.79,2,20.16,75,2.31,37.8969,-90.4222,industrial
254,7.76,8.12,1.36,1.4,85.15,107.1,2,20.36,71,2.53,38.8708,-90.224403,unknown
255,8.3,8.68,1.66,1.09,79.64,102.87,2,20.29,78,2.23,39.4751,-91.78899,unknown
256,9.01,10.57,1.68,0.71,77.24,106.71,2,19.34,84,3.03,37.1231,-93.2631,unknown
257,6.72,6.9,2.56,1.12,76.76,121.64,2,19.04,81,2.36,39.9544,-94.849,unknown
258,7.97,8.35,1.36,0.62,91.11,111.01,2,19.38,83,2.02,39.530602,-94.555801,unknown
259,8.46,8.87,1.76,0.54,82.25,115.16,2,19.87,84,1.07,39.10465,-94.57055,unknown
260,7.11,7.33,2.0,0.75,80.92,118.45,2,19.54,83,2.29,39.741667,-94.858333,unknown
261,8.22,8.61,1.56,0.58,86.69,113.09,2,19.49,84,1.72,39.331913,-94.580841,unknown
262,8.45,8.76,1.45,1.32,86.49,103.35,2,20.25,66,2.37,38.706,-92.093,unknown
263,8.19,8.61,1.47,0.88,92.92,109.61,2,19.29,83,1.88,39.407452,-94.265373,unknown
264,8.23,8.55,1.46,1.44,81.87,107.01,2,20.42,73,2.7,38.9022,-90.4469,unknown
265,0.86,1.24,2.75,0.46,51.98,104.66,1,22.19,62,4.82,51.8701,4.31806,unknown
266,6.12,6.57,8.5,0.74,64.05,157.49,2,17.76,60,2.95,38.9025,-76.653099,unknown
267,3.42,3.75,2.62,0.68,76.28,119.62,2,15.7,60,2.67,39.9231,-77.3078,unknown
268,9.36,10.05,2.97,3.99,107.89,123.87,3,15.95,72,3.06,39.5327,-84.7286,industrial
269,4.25,8.88,2.24,0.95,57.44,103.19,1,19.63,68,8.41,52.271886,-0.879898,unknown
270,0.7,0.91,1.47,0.05,58.35,95.17,1,10.01,84,3.23,-37.463035064801,-72.324575155457,natural
271,9.44,11.19,1.08,1.49,66.18,92.46,2,12.82,66,0.75,-32.736065,-71.450827,unknown
272,6.19,6.44,3.79,0.78,61.86,128.42,2,17.41,76,2.13,40.0519,-88.3724,unknown
273,5.5,5.82,1.25,2.16,103.55,109.05,3,18.16,71,3.01,38.7408,-87.4853,industrial
274,4.21,5.11,8.41,1.96,85.08,152.93,2,17.11,63,2.89,40.3833,-75.9686,industrial
275,2.11,2.56,9.5,1.35,69.16,147.38,2,17.36,66,2.98,41.5231,-74.215,industrial
276,6.79,20.86,0.52,1.04,84.26,75.22,2,15.71,87,0.88,35.36639,-120.8426,unknown
277,5.51,5.67,1.1,1.05,91.72,110.39,2,16.75,86,2.74,42.2869,-89.9997,unknown
278,5.55,5.93,2.0,0.82,94.25,110.21,2,19.65,77,0.49,36.47,-83.83,unknown
279,4.09,4.56,0.17,0.06,71.75,103.33,2,23.73,94,1.21,30.1103,-84.9903,natural
280,4.24,18.05,0.17,0.03,73.16,80.06,2,27.46,47,1.15,33.461807,-112.128044,natural
281,0.92,1.22,6.1,0.53,65.31,128.43,2,17.43,77,4.34,43.111364,-70.76973,unknown
282,3.56,3.74,0.22,0.12,93.4,67.05,2,8.08,75,2.37,42.8698,-109.8708,natural
283,4.73,5.15,2.37,2.65,82.37,116.9,2,15.04,69,1.3,40.7208,-77.9319,industrial
284,5.29,5.59,2.5,3.37,112.93,128.44,3,14.0,78,0.65,44.180901,-85.738998,industrial
285,0.89,0.96,0.29,0.27,90.32,64.66,2,13.05,78,2.1,53.493889,-114.449722,natural
286,16.78,17.98,4.02,0.82,8.4,261.05,2,29.7,69,3.06,24.7489694,84.9438395,vehicular
287,4.1,4.74,0.89,2.35,100.78,77.76,3,14.53,72,2.99,54.216473,-111.50264,industrial
288,7.55,10.99,0.47,1.4,106.22,89.68,3,15.46,67,1.49,40.733501,-111.871696,unknown
289,5.16,5.42,1.13,0.95,101.25,98.97,3,21.49,66,2.43,36.1767,-86.7386,unknown
292,10.68,12.81,1.35,1.35,60.45,99.48,2,12.79,63,0.5,-32.929552,-71.440571,unknown
293,0.67,1.84,0.36,0.64,61.33,112.17,2,9.74,74,1.07,61.205861,-149.8246,natural
294,1.9,4.29,4.22,0.7,41.33,97.08,1,11.2,67,0.51,-41.4795069236,-72.968755930145,unknown
295,5.0,8.4,0.08,0.18,93.2,71.36,2,16.69,60,3.18,-22.063792,-70.185945,unknown
296,4.4,7.27,0.06,0.15,90.12,71.91,2,15.71,64,2.82,-22.111064,-70.210828,natural
297,1.48,1.55,0.23,0.06,75.77,66.6,2,12.77,60,1.7,53.1325,-117.09111,natural
298,4.1,4.8,0.53,0.41,104.74,75.28,3,14.1,75,2.59,53.800117,-112.927795,natural
299,9.48,11.2,4.95,0.5,59.59,187.2,1,11.42,75,1.59,-33.365775677885,-70.748288055225,unknown
300,5.47,5.96,7.34,0.8,68.47,151.37,2,17.79,56,2.41,39.1694,-76.6281,industrial
301,27.81,32.17,15.01,0.85,8.27,601.83,3,30.75,71,3.77,28.4501238,77.0263051,vehicular
304,0.64,1.06,1.1,0.14,39.81,74.89,1,8.73,71,1.94,-34.06666669999999,150.7952778,natural
305,10.35,13.7,1.11,0.53,113.56,102.01,3,14.73,73,1.25,41.842778,-111.85193999999998,unknown
306,5.66,5.79,1.36,0.22,67.31,127.57,2,21.71,90,2.49,36.3572,-96.0,unknown
307,6.34,8.76,1.1,1.26,74.71,87.68,2,13.57,90,0.63,49.7064,-123.1544,unknown
308,1.44,2.56,1.37,0.3,40.59,110.62,1,27.18,89,1.19,29.812,-94.9878,natural
309,1.97,2.08,0.34,0.22,68.05,77.7,2,28.22,67,0.99,25.67555,-100.33833,natural
310,0.54,0.69,0.28,0.08,17.57,98.41,1,28.92,65,2.18,13.732878086814,100.48601837802,natural
311,6.78,7.18,2.54,1.33,83.17,123.27,2,16.44,75,1.75,39.768056,-86.16,unknown
312,5.56,5.77,2.33,1.38,86.49,119.8,2,17.21,80,1.9,41.628611,-87.461389,unknown
313,8.57,19.94,0.73,0.23,113.06,92.3,3,24.66,44,1.03,36.139881,-115.175572,unknown
314,6.78,7.18,2.54,1.33,83.17,123.27,2,16.41,75,1.76,39.787933,-86.13088,unknown
315,7.45,7.94,1.83,2.02,97.15,117.96,2,16.59,78,2.34,39.294322,-85.766845,industrial
316,10.17,10.9,0.33,0.2,110.32,89.34,3,13.84,56,1.45,39.063033,-119.2044,unknown
